"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",207174
"af","Africa","afben","Benin","ben",3992548
"af","Africa","afbfa","Burkina Faso","bfa",4699
"af","Africa","afbwa","Botswana","bwa",108.00000000000001
"af","Africa","afciv","Cote d'Ivoire","civ",45242
"af","Africa","afcmr","Cameroon","cmr",169290
"af","Africa","afcod","Democratic Republic of the Congo","cod",9138775.000000002
"af","Africa","afcog","Republic of the Congo","cog",15917
"af","Africa","afdza","Algeria","dza",63163823
"af","Africa","afegy","Egypt","egy",5792443
"af","Africa","afeth","Ethiopia","eth",1591851
"af","Africa","afgha","Ghana","gha",90035
"af","Africa","afken","Kenya","ken",2860811
"af","Africa","aflby","Libya","lby",1255
"af","Africa","afmar","Morocco","mar",56726583
"af","Africa","afmli","Mali","mli",939
"af","Africa","afmoz","Mozambique","moz",4827
"af","Africa","afmus","Mauritius","mus",13154
"af","Africa","afnam","Namibia","nam",3757.9999999999995
"af","Africa","afner","Niger","ner",762726.0000000001
"af","Africa","afnga","Nigeria","nga",949768
"af","Africa","afrwa","Rwanda","rwa",18190.000000000004
"af","Africa","afsdn","Sudan","sdn",155250
"af","Africa","afsen","Senegal","sen",10946296
"af","Africa","afswz","Eswatini","swz",25
"af","Africa","aftcd","Chad","tcd",6200
"af","Africa","aftun","Tunisia","tun",16829979
"af","Africa","aftza","Tanzania","tza",1031
"af","Africa","afuga","Uganda","uga",36760
"af","Africa","afzaf","South Africa","zaf",8892971
"af","Africa","afzmb","Zambia","zmb",161838
"as","Asia","asafg","Afghanistan","afg",620595170
"as","Asia","asare","United Arab Emirates","are",494890718
"as","Asia","asarm","Armenia","arm",6982351
"as","Asia","asaze","Azerbaijan","aze",87097546
"as","Asia","asbgd","Bangladesh","bgd",955038
"as","Asia","asbhr","Bahrain","bhr",931412
"as","Asia","asbrn","Brunei","brn",346329939
"as","Asia","aschn","China","chn",9538153540
"as","Asia","ascyp","Cyprus","cyp",10703466
"as","Asia","asgeo","Georgia","geo",87698174
"as","Asia","ashkg","Hong Kong","hkg",7485583
"as","Asia","asidn","Indonesia","idn",52917855.00000001
