"electricity generation in Austria",Value,Year,Units
"Coal",6739,2000, GWh
"Coal",8033,2001, GWh
"Coal",7817,2002, GWh
"Coal",9512,2003, GWh
"Coal",9109,2004, GWh
"Coal",8487,2005, GWh
"Coal",8750,2006, GWh
"Coal",7975,2007, GWh
"Coal",6951,2008, GWh
"Coal",5033,2009, GWh
"Coal",6703,2010, GWh
"Coal",7335,2011, GWh
"Coal",6226,2012, GWh
"Coal",6125,2013, GWh
"Coal",4868,2014, GWh
"Coal",5060,2015, GWh
"Coal",3969,2016, GWh
"Coal",3914,2017, GWh
"Coal",3619,2018, GWh
"Coal",3413,2019, GWh
"Coal",2356,2020, GWh
"Coal",2157,2021, GWh
"Coal",1961,2022, GWh
"Coal",1928,2023, GWh
"Oil",1702,2000, GWh
"Oil",1818,2001, GWh
"Oil",1448,2002, GWh
"Oil",1861,2003, GWh
"Oil",1820,2004, GWh
"Oil",1642,2005, GWh
"Oil",1644,2006, GWh
"Oil",1284,2007, GWh
"Oil",1245,2008, GWh
"Oil",1136,2009, GWh
"Oil",1273,2010, GWh
"Oil",1015,2011, GWh
"Oil",743,2012, GWh
"Oil",695,2013, GWh
"Oil",665,2014, GWh
"Oil",863,2015, GWh
"Oil",1000,2016, GWh
"Oil",852,2017, GWh
"Oil",716,2018, GWh
"Oil",692,2019, GWh
"Oil",725,2020, GWh
"Oil",709,2021, GWh
"Oil",665,2022, GWh
"Oil",781,2023, GWh
"Natural gas",7851,2000, GWh
"Natural gas",8746,2001, GWh
"Natural gas",9305,2002, GWh
"Natural gas",11164,2003, GWh
"Natural gas",10953,2004, GWh
"Natural gas",13027,2005, GWh
"Natural gas",10668,2006, GWh
"Natural gas",9903,2007, GWh
"Natural gas",11180,2008, GWh
"Natural gas",12342,2009, GWh
"Natural gas",14351,2010, GWh
"Natural gas",12436,2011, GWh
"Natural gas",9712,2012, GWh
"Natural gas",6650,2013, GWh
"Natural gas",5320,2014, GWh
"Natural gas",7663,2015, GWh
"Natural gas",8487,2016, GWh
"Natural gas",10913,2017, GWh
"Natural gas",9917,2018, GWh
"Natural gas",11315,2019, GWh
"Natural gas",9954,2020, GWh
"Natural gas",10617,2021, GWh
"Natural gas",10873,2022, GWh
"Natural gas",7495,2023, GWh
"Hydro",43219,2000, GWh
"Hydro",41837,2001, GWh
"Hydro",42020,2002, GWh
"Hydro",35292,2003, GWh
"Hydro",38966,2004, GWh
"Hydro",39437,2005, GWh
"Hydro",38056,2006, GWh
"Hydro",39199,2007, GWh
"Hydro",40666,2008, GWh
"Hydro",43668,2009, GWh
"Hydro",41558,2010, GWh
"Hydro",37780,2011, GWh
"Hydro",47741,2012, GWh
"Hydro",45778,2013, GWh
"Hydro",44833,2014, GWh
"Hydro",40591,2015, GWh
"Hydro",43008,2016, GWh
"Hydro",42175,2017, GWh
"Hydro",41219,2018, GWh
"Hydro",44204,2019, GWh
"Hydro",45343,2020, GWh
"Hydro",42678,2021, GWh
