"electricity generation in Czechia",Value,Year,Units
"Coal",54968,2000, GWh
"Coal",54937,2001, GWh
"Coal",52263,2002, GWh
"Coal",53106,2003, GWh
"Coal",52825,2004, GWh
"Coal",52267,2005, GWh
"Coal",52255,2006, GWh
"Coal",56687,2007, GWh
"Coal",51852,2008, GWh
"Coal",48629,2009, GWh
"Coal",49739,2010, GWh
"Coal",49523,2011, GWh
"Coal",46567,2012, GWh
"Coal",43711,2013, GWh
"Coal",43531,2014, GWh
"Coal",43837,2015, GWh
"Coal",44641,2016, GWh
"Coal",43925,2017, GWh
"Coal",43570,2018, GWh
"Coal",39449,2019, GWh
"Coal",32686,2020, GWh
"Coal",34807,2021, GWh
"Coal",37444,2022, GWh
"Coal",30392,2023, GWh
"Oil",372,2000, GWh
"Oil",386,2001, GWh
"Oil",384,2002, GWh
"Oil",368,2003, GWh
"Oil",348,2004, GWh
"Oil",326,2005, GWh
"Oil",258,2006, GWh
"Oil",115,2007, GWh
"Oil",131,2008, GWh
"Oil",156,2009, GWh
"Oil",199,2010, GWh
"Oil",174,2011, GWh
"Oil",113,2012, GWh
"Oil",79,2013, GWh
"Oil",105,2014, GWh
"Oil",94,2015, GWh
"Oil",92,2016, GWh
"Oil",119,2017, GWh
"Oil",107,2018, GWh
"Oil",118,2019, GWh
"Oil",89,2020, GWh
"Oil",92,2021, GWh
"Oil",81,2022, GWh
"Oil",89,2023, GWh
"Natural gas",1691,2000, GWh
"Natural gas",1580,2001, GWh
"Natural gas",1605,2002, GWh
"Natural gas",1584,2003, GWh
"Natural gas",1543,2004, GWh
"Natural gas",1470,2005, GWh
"Natural gas",1567,2006, GWh
"Natural gas",1370,2007, GWh
"Natural gas",1018,2008, GWh
"Natural gas",975,2009, GWh
"Natural gas",1362,2010, GWh
"Natural gas",1397,2011, GWh
"Natural gas",1479,2012, GWh
"Natural gas",2025,2013, GWh
"Natural gas",1806,2014, GWh
"Natural gas",2264,2015, GWh
"Natural gas",3710,2016, GWh
"Natural gas",3679,2017, GWh
"Natural gas",3750,2018, GWh
"Natural gas",5790,2019, GWh
"Natural gas",6848,2020, GWh
"Natural gas",7291,2021, GWh
"Natural gas",4311,2022, GWh
"Natural gas",3664,2023, GWh
"Nuclear",13590,2000, GWh
"Nuclear",14749,2001, GWh
"Nuclear",18738,2002, GWh
"Nuclear",25872,2003, GWh
"Nuclear",26325,2004, GWh
"Nuclear",24728,2005, GWh
"Nuclear",26046,2006, GWh
"Nuclear",26172,2007, GWh
"Nuclear",26551,2008, GWh
"Nuclear",27208,2009, GWh
"Nuclear",27998,2010, GWh
"Nuclear",28283,2011, GWh
"Nuclear",30324,2012, GWh
"Nuclear",30745,2013, GWh
"Nuclear",30325,2014, GWh
"Nuclear",26841,2015, GWh
"Nuclear",24104,2016, GWh
"Nuclear",28339,2017, GWh
"Nuclear",29921,2018, GWh
"Nuclear",30246,2019, GWh
"Nuclear",30043,2020, GWh
"Nuclear",30731,2021, GWh
"Nuclear",31021,2022, GWh
"Nuclear",30410,2023, GWh
"Hydro",2313,2000, GWh
"Hydro",2467,2001, GWh
"Hydro",2845,2002, GWh
"Hydro",1794,2003, GWh
"Hydro",2562,2004, GWh
"Hydro",3027,2005, GWh
"Hydro",3257,2006, GWh
"Hydro",2523,2007, GWh
"Hydro",2376,2008, GWh
"Hydro",2982,2009, GWh
"Hydro",3380,2010, GWh
"Hydro",2664,2011, GWh
"Hydro",2860,2012, GWh
"Hydro",3639,2013, GWh
"Hydro",2961,2014, GWh
"Hydro",3071,2015, GWh
"Hydro",3202,2016, GWh
"Hydro",3039,2017, GWh
"Hydro",2679,2018, GWh
"Hydro",3174,2019, GWh
"Hydro",3436,2020, GWh
"Hydro",3619,2021, GWh
"Hydro",3083,2022, GWh
"Hydro",3427,2023, GWh
"Biofuels",517,2000, GWh
"Biofuels",514,2001, GWh
"Biofuels",494,2002, GWh
"Biofuels",481,2003, GWh
