"electricity generation in Finland",Value,Year,Units
"Coal",13137,2000, GWh
"Coal",17515,2001, GWh
"Coal",19949,2002, GWh
"Coal",27285,2003, GWh
"Coal",23677,2004, GWh
"Coal",11688,2005, GWh
"Coal",23751,2006, GWh
"Coal",22054,2007, GWh
"Coal",14413,2008, GWh
"Coal",15998,2009, GWh
"Coal",21414,2010, GWh
"Coal",15749,2011, GWh
"Coal",11271,2012, GWh
"Coal",14371,2013, GWh
"Coal",11818,2014, GWh
"Coal",8787,2015, GWh
"Coal",10509,2016, GWh
"Coal",9214,2017, GWh
"Coal",10069,2018, GWh
"Coal",7966,2019, GWh
"Coal",5180,2020, GWh
"Coal",5585,2021, GWh
"Coal",6194,2022, GWh
"Coal",3378,2023, GWh
"Oil",587,2000, GWh
"Oil",664,2001, GWh
"Oil",893,2002, GWh
"Oil",969,2003, GWh
"Oil",615,2004, GWh
"Oil",500,2005, GWh
"Oil",481,2006, GWh
"Oil",469,2007, GWh
"Oil",653,2008, GWh
"Oil",535,2009, GWh
"Oil",484,2010, GWh
"Oil",416,2011, GWh
"Oil",312,2012, GWh
"Oil",234,2013, GWh
"Oil",236,2014, GWh
"Oil",212,2015, GWh
"Oil",200,2016, GWh
"Oil",184,2017, GWh
"Oil",265,2018, GWh
"Oil",306,2019, GWh
"Oil",201,2020, GWh
"Oil",171,2021, GWh
"Oil",249,2022, GWh
"Oil",226,2023, GWh
"Natural gas",10131,2000, GWh
"Natural gas",11690,2001, GWh
"Natural gas",11625,2002, GWh
"Natural gas",13848,2003, GWh
"Natural gas",12747,2004, GWh
"Natural gas",11231,2005, GWh
"Natural gas",12323,2006, GWh
"Natural gas",10557,2007, GWh
"Natural gas",11029,2008, GWh
"Natural gas",9793,2009, GWh
"Natural gas",11259,2010, GWh
"Natural gas",9444,2011, GWh
"Natural gas",6726,2012, GWh
"Natural gas",6788,2013, GWh
"Natural gas",5521,2014, GWh
"Natural gas",5195,2015, GWh
"Natural gas",3738,2016, GWh
"Natural gas",3300,2017, GWh
"Natural gas",4194,2018, GWh
"Natural gas",3851,2019, GWh
"Natural gas",3991,2020, GWh
"Natural gas",3826,2021, GWh
"Natural gas",957,2022, GWh
"Natural gas",660,2023, GWh
"Nuclear",22479,2000, GWh
"Nuclear",22773,2001, GWh
"Nuclear",22295,2002, GWh
"Nuclear",22731,2003, GWh
"Nuclear",22716,2004, GWh
"Nuclear",23271,2005, GWh
"Nuclear",22906,2006, GWh
"Nuclear",23423,2007, GWh
"Nuclear",22958,2008, GWh
"Nuclear",23526,2009, GWh
"Nuclear",22800,2010, GWh
"Nuclear",23187,2011, GWh
"Nuclear",22987,2012, GWh
"Nuclear",23606,2013, GWh
"Nuclear",23580,2014, GWh
"Nuclear",23245,2015, GWh
"Nuclear",23203,2016, GWh
"Nuclear",22477,2017, GWh
"Nuclear",22793,2018, GWh
"Nuclear",23870,2019, GWh
"Nuclear",23291,2020, GWh
"Nuclear",23598,2021, GWh
"Nuclear",25336,2022, GWh
"Nuclear",34308,2023, GWh
"Hydro",14660,2000, GWh
"Hydro",13205,2001, GWh
"Hydro",10776,2002, GWh
"Hydro",9591,2003, GWh
"Hydro",15070,2004, GWh
"Hydro",13784,2005, GWh
"Hydro",11494,2006, GWh
"Hydro",14177,2007, GWh
"Hydro",17112,2008, GWh
"Hydro",12686,2009, GWh
