"electricity generation in Greece",Value,Year,Units
"Coal",34313,2000, GWh
"Coal",35431,2001, GWh
"Coal",34566,2002, GWh
"Coal",35170,2003, GWh
"Coal",35380,2004, GWh
"Coal",35543,2005, GWh
"Coal",32264,2006, GWh
"Coal",34676,2007, GWh
"Coal",33356,2008, GWh
"Coal",34188,2009, GWh
"Coal",30797,2010, GWh
"Coal",31063,2011, GWh
"Coal",31119,2012, GWh
"Coal",26406,2013, GWh
"Coal",25746,2014, GWh
"Coal",22107,2015, GWh
"Coal",18883,2016, GWh
"Coal",18765,2017, GWh
"Coal",17185,2018, GWh
"Coal",12123,2019, GWh
"Coal",6605,2020, GWh
"Coal",5317,2021, GWh
"Coal",5756,2022, GWh
"Coal",4590,2023, GWh
"Oil",8885,2000, GWh
"Oil",8477,2001, GWh
"Oil",8633,2002, GWh
"Oil",8707,2003, GWh
"Oil",8385,2004, GWh
"Oil",9207,2005, GWh
"Oil",9601,2006, GWh
"Oil",9642,2007, GWh
"Oil",9990,2008, GWh
"Oil",7679,2009, GWh
"Oil",6089,2010, GWh
"Oil",5915,2011, GWh
"Oil",6080,2012, GWh
"Oil",5414,2013, GWh
"Oil",5544,2014, GWh
"Oil",5663,2015, GWh
"Oil",5565,2016, GWh
"Oil",5509,2017, GWh
"Oil",5546,2018, GWh
"Oil",5569,2019, GWh
"Oil",4727,2020, GWh
"Oil",4672,2021, GWh
"Oil",5124,2022, GWh
"Oil",4689,2023, GWh
"Natural gas",5920,2000, GWh
"Natural gas",6133,2001, GWh
"Natural gas",7061,2002, GWh
"Natural gas",7995,2003, GWh
"Natural gas",8991,2004, GWh
"Natural gas",8171,2005, GWh
"Natural gas",10610,2006, GWh
"Natural gas",13774,2007, GWh
"Natural gas",13797,2008, GWh
"Natural gas",11023,2009, GWh
"Natural gas",9830,2010, GWh
"Natural gas",13938,2011, GWh
"Natural gas",13361,2012, GWh
"Natural gas",10860,2013, GWh
"Natural gas",6776,2014, GWh
"Natural gas",9090,2015, GWh
"Natural gas",14868,2016, GWh
"Natural gas",17113,2017, GWh
"Natural gas",14080,2018, GWh
"Natural gas",14495,2019, GWh
"Natural gas",19228,2020, GWh
"Natural gas",22488,2021, GWh
"Natural gas",19142,2022, GWh
"Natural gas",15979,2023, GWh
"Hydro",4111,2000, GWh
"Hydro",2725,2001, GWh
"Hydro",3463,2002, GWh
"Hydro",5332,2003, GWh
"Hydro",5205,2004, GWh
"Hydro",5610,2005, GWh
"Hydro",6475,2006, GWh
"Hydro",3376,2007, GWh
"Hydro",4149,2008, GWh
"Hydro",5621,2009, GWh
"Hydro",7498,2010, GWh
"Hydro",4275,2011, GWh
"Hydro",4591,2012, GWh
"Hydro",6384,2013, GWh
"Hydro",4607,2014, GWh
"Hydro",6150,2015, GWh
"Hydro",5565,2016, GWh
"Hydro",4039,2017, GWh
"Hydro",5759,2018, GWh
"Hydro",4050,2019, GWh
"Hydro",3440,2020, GWh
"Hydro",5961,2021, GWh
"Hydro",3999,2022, GWh
"Hydro",4044,2023, GWh
"Biofuels",,2000, GWh
"Biofuels",79,2001, GWh
"Biofuels",126,2002, GWh
"Biofuels",105,2003, GWh
"Biofuels",124,2004, GWh
"Biofuels",122,2005, GWh
"Biofuels",114,2006, GWh
"Biofuels",184,2007, GWh
"Biofuels",191,2008, GWh
"Biofuels",218,2009, GWh
"Biofuels",190,2010, GWh
"Biofuels",207,2011, GWh
"Biofuels",204,2012, GWh
"Biofuels",216,2013, GWh
"Biofuels",220,2014, GWh
"Biofuels",231,2015, GWh
"Biofuels",275,2016, GWh
"Biofuels",310,2017, GWh
"Biofuels",314,2018, GWh
"Biofuels",402,2019, GWh
"Biofuels",453,2020, GWh
"Biofuels",499,2021, GWh
"Biofuels",568,2022, GWh
"Biofuels",654,2023, GWh
"Waste",163,2000, GWh
"Waste",103,2001, GWh
"Waste",108,2002, GWh
