"electricity generation in Hungary",Value,Year,Units
"Coal",9707,2000, GWh
"Coal",8923,2001, GWh
"Coal",9063,2002, GWh
"Coal",9254,2003, GWh
"Coal",8339,2004, GWh
"Coal",7146,2005, GWh
"Coal",7092,2006, GWh
"Coal",7487,2007, GWh
"Coal",7205,2008, GWh
"Coal",6415,2009, GWh
"Coal",6350,2010, GWh
"Coal",6609,2011, GWh
"Coal",6492,2012, GWh
"Coal",6384,2013, GWh
"Coal",6114,2014, GWh
"Coal",5908,2015, GWh
"Coal",5758,2016, GWh
"Coal",5098,2017, GWh
"Coal",4834,2018, GWh
"Coal",4184,2019, GWh
"Coal",3826,2020, GWh
"Coal",3105,2021, GWh
"Coal",3064,2022, GWh
"Coal",2509,2023, GWh
"Oil",4404,2000, GWh
"Oil",4192,2001, GWh
"Oil",2137,2002, GWh
"Oil",1626,2003, GWh
"Oil",773,2004, GWh
"Oil",455,2005, GWh
"Oil",521,2006, GWh
"Oil",535,2007, GWh
"Oil",355,2008, GWh
"Oil",633,2009, GWh
"Oil",490,2010, GWh
"Oil",144,2011, GWh
"Oil",185,2012, GWh
"Oil",78,2013, GWh
"Oil",76,2014, GWh
"Oil",77,2015, GWh
"Oil",63,2016, GWh
"Oil",86,2017, GWh
"Oil",91,2018, GWh
"Oil",71,2019, GWh
"Oil",45,2020, GWh
"Oil",59,2021, GWh
"Oil",59,2022, GWh
"Oil",55,2023, GWh
"Natural gas",6602,2000, GWh
"Natural gas",8861,2001, GWh
"Natural gas",10738,2002, GWh
"Natural gas",11883,2003, GWh
"Natural gas",11719,2004, GWh
"Natural gas",12379,2005, GWh
"Natural gas",13160,2006, GWh
"Natural gas",15232,2007, GWh
"Natural gas",15176,2008, GWh
"Natural gas",10422,2009, GWh
"Natural gas",11598,2010, GWh
"Natural gas",10738,2011, GWh
"Natural gas",9401,2012, GWh
"Natural gas",5541,2013, GWh
"Natural gas",4240,2014, GWh
"Natural gas",5108,2015, GWh
"Natural gas",6479,2016, GWh
