"electricity generation in Lithuania",Value,Year,Units
"Coal",,2000, GWh
"Coal",,2001, GWh
"Coal",,2002, GWh
"Coal",,2003, GWh
"Coal",,2004, GWh
"Coal",,2005, GWh
"Coal",1,2006, GWh
"Coal",12,2007, GWh
"Coal",1,2008, GWh
"Coal",,2009, GWh
"Coal",,2010, GWh
"Coal",,2011, GWh
"Coal",,2012, GWh
"Coal",,2013, GWh
"Coal",2,2014, GWh
"Coal",,2015, GWh
"Coal",,2016, GWh
"Coal",,2017, GWh
"Coal",,2018, GWh
"Coal",,2019, GWh
"Coal",,2020, GWh
"Coal",,2021, GWh
"Coal",,2022, GWh
"Coal",,2023, GWh
"Oil",655,2000, GWh
"Oil",720,2001, GWh
"Oil",547,2002, GWh
"Oil",327,2003, GWh
"Oil",361,2004, GWh
"Oil",401,2005, GWh
"Oil",329,2006, GWh
"Oil",408,2007, GWh
"Oil",566,2008, GWh
"Oil",735,2009, GWh
"Oil",647,2010, GWh
"Oil",209,2011, GWh
"Oil",240,2012, GWh
"Oil",206,2013, GWh
"Oil",160,2014, GWh
"Oil",275,2015, GWh
"Oil",221,2016, GWh
"Oil",139,2017, GWh
"Oil",131,2018, GWh
"Oil",67,2019, GWh
"Oil",123,2020, GWh
"Oil",95,2021, GWh
"Oil",376,2022, GWh
"Oil",214,2023, GWh
"Natural gas",1616,2000, GWh
"Natural gas",1884,2001, GWh
"Natural gas",2109,2002, GWh
"Natural gas",2518,2003, GWh
"Natural gas",2691,2004, GWh
"Natural gas",3017,2005, GWh
"Natural gas",2464,2006, GWh
"Natural gas",2405,2007, GWh
"Natural gas",2026,2008, GWh
"Natural gas",2101,2009, GWh
"Natural gas",3186,2010, GWh
"Natural gas",2668,2011, GWh
"Natural gas",2879,2012, GWh
"Natural gas",2219,2013, GWh
"Natural gas",1749,2014, GWh
"Natural gas",1979,2015, GWh
"Natural gas",986,2016, GWh
"Natural gas",597,2017, GWh
"Natural gas",330,2018, GWh
"Natural gas",523,2019, GWh
"Natural gas",1698,2020, GWh
"Natural gas",1221,2021, GWh
"Natural gas",514,2022, GWh
"Natural gas",584,2023, GWh
"Nuclear",8419,2000, GWh
"Nuclear",11362,2001, GWh
"Nuclear",14142,2002, GWh
"Nuclear",15484,2003, GWh
"Nuclear",15102,2004, GWh
"Nuclear",10337,2005, GWh
"Nuclear",8651,2006, GWh
"Nuclear",9833,2007, GWh
"Nuclear",9894,2008, GWh
"Nuclear",10852,2009, GWh
"Nuclear",,2010, GWh
"Nuclear",,2011, GWh
"Nuclear",,2012, GWh
"Nuclear",,2013, GWh
"Nuclear",,2014, GWh
"Nuclear",,2015, GWh
"Nuclear",,2016, GWh
"Nuclear",,2017, GWh
"Nuclear",,2018, GWh
"Nuclear",,2019, GWh
"Nuclear",,2020, GWh
"Nuclear",,2021, GWh
"Nuclear",,2022, GWh
"Nuclear",,2023, GWh
"Hydro",644,2000, GWh
"Hydro",701,2001, GWh
"Hydro",781,2002, GWh
"Hydro",985,2003, GWh
"Hydro",943,2004, GWh
"Hydro",820,2005, GWh
"Hydro",802,2006, GWh
"Hydro",958,2007, GWh
"Hydro",988,2008, GWh
"Hydro",1139,2009, GWh
"Hydro",1295,2010, GWh
"Hydro",1056,2011, GWh
"Hydro",937,2012, GWh
"Hydro",1069,2013, GWh
"Hydro",1088,2014, GWh
"Hydro",1024,2015, GWh
"Hydro",1044,2016, GWh
"Hydro",1181,2017, GWh
"Hydro",959,2018, GWh
"Hydro",947,2019, GWh
"Hydro",1080,2020, GWh
"Hydro",1093,2021, GWh
"Hydro",1020,2022, GWh
"Hydro",988,2023, GWh
"Biofuels",,2000, GWh
"Biofuels",2,2001, GWh
"Biofuels",4,2002, GWh
"Biofuels",7,2003, GWh
"Biofuels",6,2004, GWh
"Biofuels",7,2005, GWh
"Biofuels",24,2006, GWh
"Biofuels",54,2007, GWh
"Biofuels",69,2008, GWh
"Biofuels",102,2009, GWh
"Biofuels",147,2010, GWh
"Biofuels",157,2011, GWh
"Biofuels",218,2012, GWh
"Biofuels",338,2013, GWh
"Biofuels",371,2014, GWh
"Biofuels",404,2015, GWh
"Biofuels",392,2016, GWh
"Biofuels",430,2017, GWh
"Biofuels",495,2018, GWh
"Biofuels",485,2019, GWh
"Biofuels",522,2020, GWh
