"electricity generation sources in Poland",Value,Year,Units
"Coal",137921,2000, GWh
"Coal",137107,2001, GWh
"Coal",135005,2002, GWh
"Coal",142848,2003, GWh
"Coal",142897,2004, GWh
"Coal",143245,2005, GWh
"Coal",148627,2006, GWh
"Coal",145785,2007, GWh
"Coal",140612,2008, GWh
"Coal",134873,2009, GWh
"Coal",138383,2010, GWh
"Coal",141571,2011, GWh
"Coal",136416,2012, GWh
"Coal",139758,2013, GWh
"Coal",131551,2014, GWh
"Coal",132962,2015, GWh
"Coal",132933,2016, GWh
"Coal",133438,2017, GWh
"Coal",133007,2018, GWh
"Coal",120451,2019, GWh
"Coal",109370,2020, GWh
"Coal",129810,2021, GWh
"Coal",126654,2022, GWh
"Coal",100607,2023, GWh
"Oil",1916,2000, GWh
"Oil",2398,2001, GWh
"Oil",2376,2002, GWh
"Oil",2456,2003, GWh
"Oil",2914,2004, GWh
"Oil",2757,2005, GWh
"Oil",2908,2006, GWh
"Oil",2794,2007, GWh
"Oil",2726,2008, GWh
"Oil",2723,2009, GWh
"Oil",2892,2010, GWh
"Oil",2453,2011, GWh
"Oil",2045,2012, GWh
"Oil",1782,2013, GWh
"Oil",1594,2014, GWh
"Oil",2118,2015, GWh
"Oil",2302,2016, GWh
"Oil",2020,2017, GWh
"Oil",1800,2018, GWh
"Oil",1769,2019, GWh
"Oil",1749,2020, GWh
"Oil",2004,2021, GWh
"Oil",2352,2022, GWh
"Oil",2011,2023, GWh
"Natural gas",928,2000, GWh
"Natural gas",1358,2001, GWh
"Natural gas",2198,2002, GWh
"Natural gas",2425,2003, GWh
"Natural gas",3225,2004, GWh
"Natural gas",5165,2005, GWh
"Natural gas",4580,2006, GWh
"Natural gas",4483,2007, GWh
"Natural gas",4679,2008, GWh
"Natural gas",4787,2009, GWh
"Natural gas",4798,2010, GWh
"Natural gas",5821,2011, GWh
"Natural gas",6260,2012, GWh
"Natural gas",5270,2013, GWh
"Natural gas",5328,2014, GWh
"Natural gas",6387,2015, GWh
"Natural gas",7831,2016, GWh
"Natural gas",10034,2017, GWh
"Natural gas",12634,2018, GWh
"Natural gas",14797,2019, GWh
"Natural gas",17287,2020, GWh
"Natural gas",15823,2021, GWh
"Natural gas",11354,2022, GWh
"Natural gas",16493,2023, GWh
"Hydro",4116,2000, GWh
"Hydro",4220,2001, GWh
"Hydro",3906,2002, GWh
"Hydro",3293,2003, GWh
"Hydro",3691,2004, GWh
"Hydro",3778,2005, GWh
"Hydro",3020,2006, GWh
"Hydro",2939,2007, GWh
"Hydro",2747,2008, GWh
"Hydro",2974,2009, GWh
"Hydro",3488,2010, GWh
"Hydro",2761,2011, GWh
"Hydro",2465,2012, GWh
