"electricity generation sources in Slovak Republic",Value,Year,Units
"Coal",6111,2000, GWh
"Coal",6257,2001, GWh
"Coal",5598,2002, GWh
"Coal",6403,2003, GWh
"Coal",6115,2004, GWh
"Coal",5980,2005, GWh
"Coal",5729,2006, GWh
"Coal",5223,2007, GWh
"Coal",5149,2008, GWh
"Coal",4276,2009, GWh
"Coal",4080,2010, GWh
"Coal",4038,2011, GWh
"Coal",3906,2012, GWh
"Coal",3526,2013, GWh
"Coal",3356,2014, GWh
"Coal",3332,2015, GWh
"Coal",3268,2016, GWh
"Coal",3540,2017, GWh
"Coal",3584,2018, GWh
"Coal",2705,2019, GWh
"Coal",2205,2020, GWh
"Coal",2217,2021, GWh
"Coal",2054,2022, GWh
"Coal",1682,2023, GWh
"Oil",202,2000, GWh
"Oil",690,2001, GWh
"Oil",704,2002, GWh
"Oil",708,2003, GWh
"Oil",737,2004, GWh
"Oil",741,2005, GWh
"Oil",722,2006, GWh
"Oil",710,2007, GWh
"Oil",681,2008, GWh
"Oil",626,2009, GWh
"Oil",600,2010, GWh
"Oil",586,2011, GWh
"Oil",506,2012, GWh
"Oil",429,2013, GWh
"Oil",302,2014, GWh
"Oil",384,2015, GWh
"Oil",470,2016, GWh
"Oil",439,2017, GWh
"Oil",459,2018, GWh
"Oil",457,2019, GWh
"Oil",408,2020, GWh
"Oil",403,2021, GWh
"Oil",523,2022, GWh
"Oil",408,2023, GWh
"Natural gas",3344,2000, GWh
"Natural gas",2699,2001, GWh
"Natural gas",2511,2002, GWh
"Natural gas",2396,2003, GWh
"Natural gas",2421,2004, GWh
"Natural gas",2184,2005, GWh
"Natural gas",1910,2006, GWh
"Natural gas",1617,2007, GWh
"Natural gas",1607,2008, GWh
"Natural gas",1970,2009, GWh
"Natural gas",2206,2010, GWh
"Natural gas",3150,2011, GWh
"Natural gas",2853,2012, GWh
"Natural gas",2393,2013, GWh
"Natural gas",1619,2014, GWh
"Natural gas",1604,2015, GWh
"Natural gas",1524,2016, GWh
"Natural gas",1667,2017, GWh
"Natural gas",1857,2018, GWh
"Natural gas",3070,2019, GWh
"Natural gas",3567,2020, GWh
"Natural gas",4366,2021, GWh
"Natural gas",2098,2022, GWh
"Natural gas",2283,2023, GWh
"Nuclear",16494,2000, GWh
"Nuclear",17103,2001, GWh
"Nuclear",17953,2002, GWh
"Nuclear",17864,2003, GWh
"Nuclear",17026,2004, GWh
"Nuclear",17727,2005, GWh
"Nuclear",18012,2006, GWh
"Nuclear",15334,2007, GWh
"Nuclear",16703,2008, GWh
"Nuclear",14081,2009, GWh
"Nuclear",14574,2010, GWh
"Nuclear",15411,2011, GWh
"Nuclear",15495,2012, GWh
"Nuclear",15720,2013, GWh
"Nuclear",15499,2014, GWh
"Nuclear",15146,2015, GWh
"Nuclear",14774,2016, GWh
"Nuclear",15081,2017, GWh
"Nuclear",14843,2018, GWh
"Nuclear",15282,2019, GWh
"Nuclear",15444,2020, GWh
"Nuclear",15730,2021, GWh
"Nuclear",15920,2022, GWh
"Nuclear",18333,2023, GWh
"Hydro",4975,2000, GWh
"Hydro",5117,2001, GWh
"Hydro",5483,2002, GWh
"Hydro",3672,2003, GWh
"Hydro",4207,2004, GWh
"Hydro",4741,2005, GWh
"Hydro",4566,2006, GWh
"Hydro",4615,2007, GWh
"Hydro",4241,2008, GWh
"Hydro",4604,2009, GWh
"Hydro",5649,2010, GWh
"Hydro",4146,2011, GWh
"Hydro",4439,2012, GWh
"Hydro",5166,2013, GWh
"Hydro",4462,2014, GWh
"Hydro",4137,2015, GWh
"Hydro",4606,2016, GWh
"Hydro",4623,2017, GWh
"Hydro",3879,2018, GWh
"Hydro",4571,2019, GWh
"Hydro",4799,2020, GWh
"Hydro",4552,2021, GWh
"Hydro",3963,2022, GWh
"Hydro",5028,2023, GWh
"Biofuels",,2000, GWh
"Biofuels",154,2001, GWh
"Biofuels",152,2002, GWh
"Biofuels",86,2003, GWh
"Biofuels",5,2004, GWh
"Biofuels",9,2005, GWh
"Biofuels",375,2006, GWh
"Biofuels",453,2007, GWh
