"electricity generation sources in Sweden",Value,Year,Units
"Coal",2536,2000, GWh
"Coal",3250,2001, GWh
"Coal",3715,2002, GWh
"Coal",4336,2003, GWh
"Coal",2510,2004, GWh
"Coal",1926,2005, GWh
"Coal",1991,2006, GWh
"Coal",1705,2007, GWh
"Coal",2235,2008, GWh
"Coal",1600,2009, GWh
"Coal",2675,2010, GWh
"Coal",2058,2011, GWh
"Coal",1392,2012, GWh
"Coal",1445,2013, GWh
"Coal",1098,2014, GWh
"Coal",1261,2015, GWh
"Coal",1051,2016, GWh
"Coal",1229,2017, GWh
"Coal",1406,2018, GWh
"Coal",1183,2019, GWh
"Coal",659,2020, GWh
"Coal",745,2021, GWh
"Coal",633,2022, GWh
"Coal",662,2023, GWh
"Oil",1533,2000, GWh
"Oil",2310,2001, GWh
"Oil",2955,2002, GWh
"Oil",3871,2003, GWh
"Oil",1954,2004, GWh
"Oil",1379,2005, GWh
"Oil",1669,2006, GWh
"Oil",1077,2007, GWh
"Oil",873,2008, GWh
"Oil",730,2009, GWh
"Oil",1774,2010, GWh
"Oil",791,2011, GWh
"Oil",648,2012, GWh
"Oil",411,2013, GWh
"Oil",300,2014, GWh
"Oil",252,2015, GWh
"Oil",398,2016, GWh
"Oil",290,2017, GWh
"Oil",307,2018, GWh
"Oil",217,2019, GWh
"Oil",141,2020, GWh
"Oil",348,2021, GWh
"Oil",450,2022, GWh
"Oil",195,2023, GWh
"Natural gas",462,2000, GWh
"Natural gas",361,2001, GWh
"Natural gas",510,2002, GWh
"Natural gas",700,2003, GWh
"Natural gas",749,2004, GWh
"Natural gas",585,2005, GWh
"Natural gas",582,2006, GWh
"Natural gas",824,2007, GWh
"Natural gas",603,2008, GWh
"Natural gas",1548,2009, GWh
"Natural gas",2877,2010, GWh
"Natural gas",1549,2011, GWh
"Natural gas",892,2012, GWh
"Natural gas",837,2013, GWh
"Natural gas",413,2014, GWh
"Natural gas",425,2015, GWh
"Natural gas",623,2016, GWh
"Natural gas",271,2017, GWh
"Natural gas",376,2018, GWh
"Natural gas",284,2019, GWh
"Natural gas",97,2020, GWh
"Natural gas",282,2021, GWh
"Natural gas",144,2022, GWh
"Natural gas",154,2023, GWh
"Nuclear",57316,2000, GWh
"Nuclear",72109,2001, GWh
"Nuclear",68111,2002, GWh
"Nuclear",67415,2003, GWh
"Nuclear",77486,2004, GWh
"Nuclear",72377,2005, GWh
"Nuclear",66977,2006, GWh
"Nuclear",66969,2007, GWh
"Nuclear",63889,2008, GWh
"Nuclear",52173,2009, GWh
"Nuclear",57828,2010, GWh
"Nuclear",60475,2011, GWh
"Nuclear",64037,2012, GWh
"Nuclear",66457,2013, GWh
"Nuclear",64877,2014, GWh
"Nuclear",56348,2015, GWh
"Nuclear",63101,2016, GWh
"Nuclear",65696,2017, GWh
"Nuclear",68549,2018, GWh
"Nuclear",66130,2019, GWh
"Nuclear",49198,2020, GWh
"Nuclear",52965,2021, GWh
"Nuclear",51944,2022, GWh
"Nuclear",48470,2023, GWh
"Hydro",78619,2000, GWh
"Hydro",79082,2001, GWh
"Hydro",66395,2002, GWh
"Hydro",53598,2003, GWh
"Hydro",60178,2004, GWh
"Hydro",72874,2005, GWh
"Hydro",61856,2006, GWh
"Hydro",66262,2007, GWh
"Hydro",69211,2008, GWh
"Hydro",65977,2009, GWh
"Hydro",66501,2010, GWh
"Hydro",66556,2011, GWh
"Hydro",79058,2012, GWh
"Hydro",61496,2013, GWh
"Hydro",63872,2014, GWh
"Hydro",75439,2015, GWh
"Hydro",62137,2016, GWh
"Hydro",65168,2017, GWh
"Hydro",62250,2018, GWh
"Hydro",65393,2019, GWh
"Hydro",72440,2020, GWh
"Hydro",73926,2021, GWh
"Hydro",69967,2022, GWh
"Hydro",66240,2023, GWh
"Biofuels",4002,2000, GWh
"Biofuels",3687,2001, GWh
"Biofuels",4063,2002, GWh
"Biofuels",4368,2003, GWh
"Biofuels",6708,2004, GWh
"Biofuels",6967,2005, GWh
"Biofuels",7791,2006, GWh
"Biofuels",8727,2007, GWh
"Biofuels",9068,2008, GWh
"Biofuels",10412,2009, GWh
"Biofuels",10476,2010, GWh
"Biofuels",9676,2011, GWh
"Biofuels",10532,2012, GWh
"Biofuels",9748,2013, GWh
"Biofuels",9070,2014, GWh
"Biofuels",9016,2015, GWh
"Biofuels",9806,2016, GWh
"Biofuels",10298,2017, GWh
"Biofuels",10257,2018, GWh
"Biofuels",11269,2019, GWh
"Biofuels",9531,2020, GWh
"Biofuels",11269,2021, GWh
"Biofuels",11371,2022, GWh
"Biofuels",10319,2023, GWh
"Waste",340,2000, GWh
"Waste",334,2001, GWh
"Waste",376,2002, GWh
"Waste",468,2003, GWh
"Waste",1291,2004, GWh
"Waste",1390,2005, GWh
"Waste",1564,2006, GWh
"Waste",1929,2007, GWh
"Waste",2157,2008, GWh
"Waste",1797,2009, GWh
"Waste",2921,2010, GWh
"Waste",3182,2011, GWh
"Waste",2819,2012, GWh
"Waste",2895,2013, GWh
"Waste",2751,2014, GWh
"Waste",2952,2015, GWh
"Waste",3272,2016, GWh
"Waste",3459,2017, GWh
"Waste",3225,2018, GWh
"Waste",3437,2019, GWh
"Waste",3190,2020, GWh
"Waste",3493,2021, GWh
"Waste",3417,2022, GWh
"Waste",2694,2023, GWh
"Wind",457,2000, GWh
"Wind",482,2001, GWh
"Wind",608,2002, GWh
"Wind",679,2003, GWh
"Wind",860,2004, GWh
"Wind",935,2005, GWh
"Wind",984,2006, GWh
"Wind",1426,2007, GWh
"Wind",1998,2008, GWh
"Wind",2491,2009, GWh
"Wind",3487,2010, GWh
"Wind",6107,2011, GWh
"Wind",7164,2012, GWh
"Wind",9842,2013, GWh
"Wind",11235,2014, GWh
"Wind",16322,2015, GWh
"Wind",15479,2016, GWh
"Wind",17609,2017, GWh
"Wind",16623,2018, GWh
"Wind",19847,2019, GWh
"Wind",27526,2020, GWh
"Wind",27244,2021, GWh
"Wind",33253,2022, GWh
"Wind",34245,2023, GWh
"Solar PV",1,2000, GWh
"Solar PV",2,2001, GWh
"Solar PV",2,2002, GWh
"Solar PV",2,2003, GWh
"Solar PV",2,2004, GWh
"Solar PV",2,2005, GWh
"Solar PV",2,2006, GWh
"Solar PV",3,2007, GWh
"Solar PV",4,2008, GWh
"Solar PV",7,2009, GWh
"Solar PV",9,2010, GWh
"Solar PV",11,2011, GWh
"Solar PV",19,2012, GWh
"Solar PV",35,2013, GWh
"Solar PV",47,2014, GWh
"Solar PV",97,2015, GWh
"Solar PV",143,2016, GWh
"Solar PV",230,2017, GWh
"Solar PV",407,2018, GWh
"Solar PV",679,2019, GWh
"Solar PV",1051,2020, GWh
"Solar PV",1526,2021, GWh
"Solar PV",1980,2022, GWh
"Solar PV",3114,2023, GWh
"Other sources",,2000, GWh
"Other sources",,2001, GWh
"Other sources",,2002, GWh
"Other sources",,2003, GWh
"Other sources",,2004, GWh
"Other sources",,2005, GWh
"Other sources",,2006, GWh
"Other sources",,2007, GWh
"Other sources",,2008, GWh
"Other sources",,2009, GWh
"Other sources",,2010, GWh
"Other sources",,2011, GWh
"Other sources",,2012, GWh
"Other sources",0,2013, GWh
"Other sources",0,2014, GWh
"Other sources",0,2015, GWh
"Other sources",0,2016, GWh
"Other sources",0,2017, GWh
"Other sources",0,2018, GWh
"Other sources",0,2019, GWh
"Other sources",0,2020, GWh
"Other sources",0,2021, GWh
"Other sources",0,2022, GWh
"Other sources",,2023, GWh
