"electricity generation sources in The Netherlands",Value,Year,Units
"Coal",27114,2000, GWh
"Coal",28521,2001, GWh
"Coal",28988,2002, GWh
"Coal",29742,2003, GWh
"Coal",28135,2004, GWh
"Coal",26928,2005, GWh
"Coal",26508,2006, GWh
"Coal",28466,2007, GWh
"Coal",26814,2008, GWh
"Coal",26607,2009, GWh
"Coal",25800,2010, GWh
"Coal",24738,2011, GWh
"Coal",27313,2012, GWh
"Coal",27539,2013, GWh
"Coal",32420,2014, GWh
"Coal",42233,2015, GWh
"Coal",39543,2016, GWh
"Coal",34125,2017, GWh
"Coal",30386,2018, GWh
"Coal",20049,2019, GWh
"Coal",10102,2020, GWh
"Coal",17364,2021, GWh
"Coal",17399,2022, GWh
"Coal",10706,2023, GWh
"Oil",2641,2000, GWh
"Oil",2646,2001, GWh
"Oil",2363,2002, GWh
"Oil",2493,2003, GWh
"Oil",2431,2004, GWh
"Oil",2262,2005, GWh
"Oil",2095,2006, GWh
"Oil",2219,2007, GWh
"Oil",2065,2008, GWh
"Oil",1487,2009, GWh
"Oil",1253,2010, GWh
"Oil",1406,2011, GWh
"Oil",1059,2012, GWh
"Oil",1203,2013, GWh
"Oil",1906,2014, GWh
"Oil",1317,2015, GWh
"Oil",1255,2016, GWh
"Oil",1165,2017, GWh
"Oil",1323,2018, GWh
"Oil",1422,2019, GWh
"Oil",1351,2020, GWh
"Oil",1343,2021, GWh
"Oil",1594,2022, GWh
"Oil",1530,2023, GWh
"Natural gas",51522,2000, GWh
"Natural gas",53771,2001, GWh
"Natural gas",55280,2002, GWh
"Natural gas",55020,2003, GWh
"Natural gas",59987,2004, GWh
"Natural gas",57599,2005, GWh
"Natural gas",57142,2006, GWh
"Natural gas",61010,2007, GWh
"Natural gas",63359,2008, GWh
"Natural gas",68872,2009, GWh
"Natural gas",75333,2010, GWh
"Natural gas",69475,2011, GWh
"Natural gas",56565,2012, GWh
"Natural gas",56070,2013, GWh
"Natural gas",51522,2014, GWh
"Natural gas",45814,2015, GWh
"Natural gas",52531,2016, GWh
"Natural gas",57733,2017, GWh
"Natural gas",57630,2018, GWh
"Natural gas",70719,2019, GWh
"Natural gas",72524,2020, GWh
"Natural gas",56690,2021, GWh
"Natural gas",47742,2022, GWh
"Natural gas",45952,2023, GWh
