"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afdza","Algeria","dza",4336
"af","Africa","afegy","Egypt","egy",4925055
"af","Africa","afmar","Morocco","mar",3886262
"af","Africa","aftun","Tunisia","tun",590942
"af","Africa","afzaf","South Africa","zaf",301163
"as","Asia","asafg","Afghanistan","afg",10996600
"as","Asia","asare","United Arab Emirates","are",142700
"as","Asia","asarm","Armenia","arm",803887
"as","Asia","asaze","Azerbaijan","aze",51779810.99999999
"as","Asia","asbgd","Bangladesh","bgd",2839300
"as","Asia","aschn","China","chn",813778698
"as","Asia","ascyp","Cyprus","cyp",1003731
"as","Asia","asgeo","Georgia","geo",9689021
"as","Asia","ashkg","Hong Kong","hkg",892004.0000000001
"as","Asia","asidn","Indonesia","idn",734561
"as","Asia","asind","India","ind",15622582
"as","Asia","asirn","Iran","irn",278984279
"as","Asia","asirq","Iraq","irq",143900
"as","Asia","asisr","Israel","isr",600629
"as","Asia","asjor","Jordan","jor",977218
"as","Asia","asjpn","Japan","jpn",85824024
"as","Asia","askgz","Kyrgyzstan","kgz",50752478
"as","Asia","askor","South Korea","kor",45421570
"as","Asia","askwt","Kuwait","kwt",36844
"as","Asia","aslbn","Lebanon","lbn",2227786
"as","Asia","asmng","Mongolia","mng",6207928
"as","Asia","asmys","Malaysia","mys",1345691
"as","Asia","asomn","Oman","omn",1308136
"as","Asia","aspak","Pakistan","pak",9700
"as","Asia","asphl","Philippines","phl",106363.99999999999
"as","Asia","asqat","Qatar","qat",764777
"as","Asia","assau","Saudi Arabia","sau",37937254
"as","Asia","assgp","Singapore","sgp",30050628
"as","Asia","assyr","Syria","syr",22900
"as","Asia","astha","Thailand","tha",39406875
"as","Asia","astjk","Tajikistan","tjk",8318600
"as","Asia","astkm","Turkmenistan","tkm",17922626
"as","Asia","astur","Turkey","tur",181340629
"as","Asia","astwn","Chinese Taipei","twn",12246221
"as","Asia","asuzb","Uzbekistan","uzb",47990000
"as","Asia","asvnm","Vietnam","vnm",4802785
"eu","Europe","euaut","Austria","aut",307605595.00000006
"eu","Europe","eubel","Belgium","bel",42187076
"eu","Europe","eubgr","Bulgaria","bgr",7208276
"eu","Europe","eublr","Belarus","blr",34163192
"eu","Europe","euche","Switzerland","che",98429633
"eu","Europe","eucze","Czechia","cze",107357352.99999999
"eu","Europe","eudeu","Germany","deu",360227081
"eu","Europe","eudnk","Denmark","dnk",12406
"eu","Europe","euesp","Spain","esp",57811758
"eu","Europe","euest","Estonia","est",15213035
"eu","Europe","eufin","Finland","fin",55397811
"eu","Europe","eufra","France","fra",476362137
"eu","Europe","eugbr","United Kingdom","gbr",315429317
"eu","Europe","eugrc","Greece","grc",107316601
"eu","Europe","euhrv","Croatia","hrv",14075393
"eu","Europe","euhun","Hungary","hun",7552836
"eu","Europe","euirl","Ireland","irl",4533482
"eu","Europe","euisl","Iceland","isl",2412000
"eu","Europe","euita","Italy","ita",680356682.9999999
"eu","Europe","eultu","Lithuania","ltu",15398098
"eu","Europe","eulux","Luxembourg","lux",370843.00000000006
"eu","Europe","eulva","Latvia","lva",57414720
"eu","Europe","eumda","Moldova","mda",2782109
"eu","Europe","eunld","Netherlands","nld",87685578
"eu","Europe","eunor","Norway","nor",3988225
"eu","Europe","eupol","Poland","pol",63392044
"eu","Europe","euprt","Portugal","prt",7817017
"eu","Europe","eurou","Romania","rou",260272095
"eu","Europe","eurus","Russia","rus",1963350351
"eu","Europe","eusvk","Slovakia","svk",30410136
"eu","Europe","eusvn","Slovenia","svn",2480979.9999999995
"eu","Europe","euswe","Sweden","swe",9186229
"eu","Europe","euukr","Ukraine","ukr",264882402
"eu","Europe","euyug","Yugoslavia","yug",1624704
"na","North America","nabmu","Bermuda","bmu",1185798800
"na","North America","nabrb","Barbados","brb",14943
"na","North America","nacan","Canada","can",17066447
"na","North America","nacri","Costa Rica","cri",3230
"na","North America","nacub","Cuba","cub",4243543
"na","North America","nadma","Dominica","dma",72900
"na","North America","nagtm","Guatemala","gtm",120825
"na","North America","najam","Jamaica","jam",148299
"na","North America","namex","Mexico","mex",37566219
"na","North America","nanic","Nicaragua","nic",69408
"na","North America","napan","Panama","pan",20827075
"na","North America","naslv","El Salvador","slv",14659
"na","North America","natto","Trinidad and Tobago","tto",584246
"na","North America","nausa","United States","usa",452548779
"na","North America","navgb","British Virgin Islands","vgb",1029131600
"oc","Oceania","ocaus","Australia","aus",1426372
"oc","Oceania","ocnzl","New Zealand","nzl",1782235
"oc","Oceania","ocpyf","French Polynesia","pyf",8750
"oc","Oceania","ocslb","Solomon Islands","slb",1255000
"oc","Oceania","ocwlf","Wallis and Futuna","wlf",47600
"sa","South America","saarg","Argentina","arg",6727170
"sa","South America","sabra","Brazil","bra",292559
"sa","South America","sachl","Chile","chl",2715774
"sa","South America","sacol","Colombia","col",111649
"sa","South America","saper","Peru","per",2351948
